reviews.text,reviews.rating,sentiment,review_length,Cleaned_Review
"I initially had trouble deciding between the paperwhite and the voyage because reviews more or less said the same thing: the paperwhite is great, but if you have spending money, go for the voyage.Fortunately, I had friends who owned each, so I ended up buying the paperwhite on this basis: both models now have 300 ppi, so the 80 dollar jump turns out pricey the voyage's page press isn't always sensitive, and if you are fine with a specific setting, you don't need auto light adjustment).It's been a week and I am loving my paperwhite, no regrets! The touch screen is receptive and easy to use, and I keep the light at a specific setting regardless of the time of day. (In any case, it's not hard to change the setting either, as you'll only be changing the light level at a certain time of day, not every now and then while reading).Also glad that I went for the international shipping option with Amazon. Extra expense, but delivery was on time, with tracking, and I didnt need to worry about customs, which I may have if I used a third party shipping service.",5.0,1.0,1064,i initially had trouble deciding between the paperwhite and the voyage because reviews more or less said the same thing the paperwhite is great but if you have spending money go for the voyagefortunately i had friends who owned each so i ended up buying the paperwhite on this basis both models now have ppi so the dollar jump turns out pricey the voyages page press isnt always sensitive and if you are fine with a specific setting you dont need auto light adjustmentits been a week and i am loving my paperwhite no regrets the touch screen is receptive and easy to use and i keep the light at a specific setting regardless of the time of day in any case its not hard to change the setting either as youll only be changing the light level at a certain time of day not every now and then while readingalso glad that i went for the international shipping option with amazon extra expense but delivery was on time with tracking and i didnt need to worry about customs which i may have if i used a third party shipping service
"Allow me to preface this with a little history. I am (was) a casual reader who owned a Nook Simple Touch from 2011. I've read the Harry Potter series, Girl with the Dragon Tattoo series, 1984, Brave New World, and a few other key titles. Fair to say my Nook did not get as much use as many others may have gotten from theirs.Fast forward to today. I have had a full week with my new Kindle Paperwhite and I have to admit, I'm in love. Not just with the Kindle, but with reading all over again! Now let me relate this review, love, and reading all back to the Kindle. The investment of 139.00 is in the experience you will receive when you buy a Kindle. You are not simply paying for a screen there is an entire experience included in buying from Amazon.I have been reading The Hunger Games trilogy and shall be moving onto the Divergent series soon after. Here is the thing with the Nook that hindered me for the past 4 years: I was never inspired to pick it up, get it into my hands, and just dive in. There was never that feeling of oh man, reading on this thing is so awesome. However, with my Paperwhite, I now have that feeling! That desire is back and I simply adore my Kindle. If you are considering purchasing one, stop thinking about it simply go for it. After a full week, 3 downloaded books, and a ton of reading, I still have half of my battery left as well.Make yourself happy. Inspire the reader inside of you.",5.0,1.0,1424,allow me to preface this with a little history i am was a casual reader who owned a nook simple touch from ive read the harry potter series girl with the dragon tattoo series brave new world and a few other key titles fair to say my nook did not get as much use as many others may have gotten from theirsfast forward to today i have had a full week with my new kindle paperwhite and i have to admit im in love not just with the kindle but with reading all over again now let me relate this review love and reading all back to the kindle the investment of is in the experience you will receive when you buy a kindle you are not simply paying for a screen there is an entire experience included in buying from amazoni have been reading the hunger games trilogy and shall be moving onto the divergent series soon after here is the thing with the nook that hindered me for the past years i was never inspired to pick it up get it into my hands and just dive in there was never that feeling of oh man reading on this thing is so awesome however with my paperwhite i now have that feeling that desire is back and i simply adore my kindle if you are considering purchasing one stop thinking about it simply go for it after a full week downloaded books and a ton of reading i still have half of my battery left as wellmake yourself happy inspire the reader inside of you
I am enjoying it so far. Great for reading. Had the original Fire since 2012. The Fire used to make my eyes hurt if I read too long. Haven't experienced that with the Paperwhite yet.,4.0,1.0,182,i am enjoying it so far great for reading had the original fire since the fire used to make my eyes hurt if i read too long havent experienced that with the paperwhite yet
"I bought one of the first Paperwhites and have been very pleased with it its been a constant companion and I suppose Ive read, on average, a book every three days for the past however many years on it. I wouldnt give it up youd have to pry it from my cold dead fingers.For sundry logistical reasons, Ive also made good use of Amazons Kindle app on my iPhone. No Paperwhite screen, naturally, and all the cool usability that delivers, but it works well and has its own attractions as a companion to the Kindle.Of course, there are aspects of the Paperwhite which I would like to critique. Ah you knew that was coming somewhere, didnt you.As a member of BookBub, I get a daily list of alerts and book deals in my chosen genres. I take on many of them, however, Ive found that, even with the best will in the world, I cant keep up. Some days it seems that for every book I read, Ive bought two. Theres just so much good stuff out there! The accumulative effect of this is that the number of books actually on my Paperwhite has been creeping ever upward for some time. Its now at about 400.With this in mind, Ive noticed that while page-turning has remained exactly the same, just about every other action on the Kindle has become positively glacial. Not just very slow, but so slow you think its malfunctioning. The general consensus appears to be that its to be expected once one has that many books downloaded onto a Kindle, it will begin to behave in a flakey manner. This drives me mad. Amazon states it can hold thousands of books. I believe them. But I figure I would need a second Paperwhite to read while Im waiting for actions to complete on the first one.Read more",5.0,1.0,1671,i bought one of the first paperwhites and have been very pleased with it its been a constant companion and i suppose ive read on average a book every three days for the past however many years on it i wouldnt give it up youd have to pry it from my cold dead fingersfor sundry logistical reasons ive also made good use of amazons kindle app on my iphone no paperwhite screen naturally and all the cool usability that delivers but it works well and has its own attractions as a companion to the kindleof course there are aspects of the paperwhite which i would like to critique ah you knew that was coming somewhere didnt youas a member of bookbub i get a daily list of alerts and book deals in my chosen genres i take on many of them however ive found that even with the best will in the world i cant keep up some days it seems that for every book i read ive bought two theres just so much good stuff out there the accumulative effect of this is that the number of books actually on my paperwhite has been creeping ever upward for some time its now at about with this in mind ive noticed that while pageturning has remained exactly the same just about every other action on the kindle has become positively glacial not just very slow but so slow you think its malfunctioning the general consensus appears to be that its to be expected once one has that many books downloaded onto a kindle it will begin to behave in a flakey manner this drives me mad amazon states it can hold thousands of books i believe them but i figure i would need a second paperwhite to read while im waiting for actions to complete on the first oneread more
"I have to say upfront - I don't like coroporate, hermetically closed stuff like anything by Apple or in this case, Amazon. I like having devices on which I can put anything I want and use it. But...I was a fairly happy user of a Nook Touch for several years, but couldn't use all its functionalities since I live in Serbia. Then I lost the Nook and since no other devices can actually be fully used in Serbia (buying books with them, using their online capabilities) except the Kindle, and since no one except Amazon ships to Serbia, and since I've actually been a happy Amazon customer since 2005 over friends' accounts and since 2007 through my own, and since the Kindle definitely has the best technology - why not buy itSo I did. What I read in many reviews about the screen/light of the Paperwhite and similar devices was no problem with mine. The light disperses just fine, except a few black blotches (maybe you can see it in the picture) at the bottom of the screen, which are actually shadows of the black plastic casing and thus can't really be avoided. As you can see in the picture without the light - there are no blotches with light out.The Paperwhite's screen is just marvelous at 300 ppi, the touchscreen works just fine, the store works here in Serbia, and in these two days I've been using it, I'm a happy guy.I had to get the hang on how to make sideloaded books behave at least almost like Amazon books, but that's fine. That's the one thing I'd like to see Amazon do in some future upgrades: make the Kindle treat sideloaded books just like the ones bought from them directly, with sharing funcion (quotes and Goodreads) enabled and so on.The size is perfect, it sits very well in the hand, the light doesn't hurt the eyes in the dark (like the light on a tab does)... the packaging was fine, no problems there and what remains to be seen now is the battery life.So far, I can only recommend it.",5.0,1.0,1916,i have to say upfront i dont like coroporate hermetically closed stuff like anything by apple or in this case amazon i like having devices on which i can put anything i want and use it buti was a fairly happy user of a nook touch for several years but couldnt use all its functionalities since i live in serbia then i lost the nook and since no other devices can actually be fully used in serbia buying books with them using their online capabilities except the kindle and since no one except amazon ships to serbia and since ive actually been a happy amazon customer since over friends accounts and since through my own and since the kindle definitely has the best technology why not buy itso i did what i read in many reviews about the screenlight of the paperwhite and similar devices was no problem with mine the light disperses just fine except a few black blotches maybe you can see it in the picture at the bottom of the screen which are actually shadows of the black plastic casing and thus cant really be avoided as you can see in the picture without the light there are no blotches with light outthe paperwhites screen is just marvelous at ppi the touchscreen works just fine the store works here in serbia and in these two days ive been using it im a happy guyi had to get the hang on how to make sideloaded books behave at least almost like amazon books but thats fine thats the one thing id like to see amazon do in some future upgrades make the kindle treat sideloaded books just like the ones bought from them directly with sharing funcion quotes and goodreads enabled and so onthe size is perfect it sits very well in the hand the light doesnt hurt the eyes in the dark like the light on a tab does the packaging was fine no problems there and what remains to be seen now is the battery lifeso far i can only recommend it
"Had older model, that you could text to speech, this one hasn't. Liked the smaller size, but having to buy a different cover! Still getting used to shelf quite different from my 4 year old model.Paper white is nice reading.",4.0,1.0,223,had older model that you could text to speech this one hasnt liked the smaller size but having to buy a different cover still getting used to shelf quite different from my year old modelpaper white is nice reading
"This is a review of the Kindle Paperwhite launched July 2015. Essentially. the same as the previous Kindle Paperwhite but with a fantastic upgraded (300 dpi) screen, more memory and storage it's a terrific reading device. This review aims to describe both this product, and compare it with the other Kindle devices available to help you choose the best one for you.Before I start, Ive noticed several complains about Kindle not supporting the ePub format used by Canadian public libraries. Dont be put off, theres a solution in the Frequently Asked Questions section below.This review is broken up into sections so you can skip the less interesting bits. If youre in a hurry Ive included a summary at the start, and a Frequently Asked Questions section at the end.Summary - What can you do with it-----------------------------------------* Read a book. It can store 1,000s of books - take an entire library away with you on holiday.* Buy a book. You can browse the Amazon kindle store, and buy books over a WIFI connection* Borrow a book. Using the Kindle Owners Library you can borrow one of 60,000 books (if you have Amazon Prime Membership)* Share your books. Using Amazon Family Library to link two Amazon accounts and four children and share your books with the entire family* Highlight a section. Using the touch screen, you can highlight a particulary interesting few lines. If several people highlight the same section, that's also indicated.* Record a bookmark. To come back to it later* Read a book on your Kindle, continue on your smartphone or tablet computer, and it will jump to your last known position* Look up a word, and record them in the vocabulary builder* Track a characters appearance throughout a book using the X Ray feature.* Read for weeks without needing to recharge - typically 4-6 weeks* Share you books (Multiple Kindles on the same account, or family sharing)* Access every book you've ever owned on the cloud - available for download within seconds over WIFI or 3G..What Devices are available--------------------------------As of July 2015, Amazon have the following Kindle devices on sale:-1. Kindle 6 (around CDN 79)2. Kindle Paperwhite 6th Generation (212 dpi - launched October 2013) - around CDN 1292. New Kindle Paperwhite 7th Gen (300 dpi - launched July 2015) - around CDN 139-2093. Kindle Voyger - around US 219-289 (Doesnt seem to be on sale in Amazon Canada)4. Kindle Fire - 6 or 7 colour tablet computers at around CDN 300-400So you're faced with a few devices, plus additional options. Which to buy Here's a quick summary in order of cost.*** The entry level Kindle ***An entry level black and white (e-ink) book reader, it has a 6 inch touch screen with enough storage to hold thousands of books, and a battery which should last around 4 weeks.A terrific device to read books, and a worthy contender. For the technically minded, it has a 1Ghz processor and 4Gb of memory with an E-ink display. Essentially this means it's (a) Black and White (b) Fantastic to read even in bright sunlight (c) Requires very little power - hence the battery lasts for weeks instead of hours.*** New Kindle Paperwhite ***Launched in 2015, this is really an upgrade adding a super-sharp display with 300 pixels per inch - the same as the top of the range Voyage. The high resolution screen does provide a crisp text which is pleasing to the eye, but battery life is reduced from 8 weeks of the original Paperwhite to 6 weeks - but still a very long time.Compared to the existing (2013) Paperwhite it also includes double the memory which means its faster and slicker than before, and a new Bookerly font plus better presentation of fonts on screen.If you have an existing Paperwhite its probably not worth upgrading. However, if you own a prior device, youll notice the huge leap in screen quality, contrast and performance.*** The Voyage ***Far more expensive that Paperwhite, this is thinner and 26g lighter. It has more of a quality feel with the screen flush with the e-reader body which makes it look more like a tablet, and keeps dirt from getting caught in the edges. The back has a soft touch plastic finish which feels lovely in the hand, and it has new Page Press buttons on the side to turn the pages. When the buttons are pressed theres a gentle vibration for feedback (nice touch). It has 4Gb of storage (same as the Paperwhite), and a similar battery which should last around 6 weeks on a single charge.Although it has the same sharp (300 dpi) screen as the Paperwhite, the backlight includes an ambient light sensor so it automatically adjusts to different lighting conditions. This means if you read it the dark it will automatically adjust the brightness so it doesnt look too bright. In addition, youll find when you switch off the room light your eyes naturally become accustomed to the darkness. To compensate, the Voyage automatically softens the light slightly. A lovely example of attention to detail in this premium device.*** Kindle Fire Tablet Computer ***The Kindle Fire range is a very different beast to the rest of the Kindle range. Similar to the Apple iPad mini, it has a high resolution screen, a fast processor and lots of memory with a colour screen and a much shorter battery life - hours rather than weeks. Although you can read books on a Fire using the Amazon Kindle App, youll find the Kindle with its sharp black and white screen far more like reading a physical book. Youll find it produces less eye strain, and whereas a tablet computer is better suited to surfing the web, watching videos and reading eMails, the Kindle is a dedicated book reader device.Unlike a Kindle, the Fire produces light at the blue end of the spectrum which means it may make it harder for you to sleep. The Paperwhite and Voyage also ave the advantage of a soft white back-light which is far more suited to reading in bed, and it wont for example, wake your partner if reading in the dark.Finally, unlike the rest of the Kindle range, the Fire is almost useless in bright sunlight so while its fine for everyday use, its less useful on holiday. The Kindle range of devices are perfect to take away on holiday as they can carry thousands of books, and are a pleasure to read even in bright sunlight.What other options do I have----------------------------------Having decided upon the model (Kindle, Paperwhite, Voyage or Fire), the next decision is around:-* Special Offers - ie. adverts* 3G or WIFI connectionPersonally I have no issue with adverts on a Kindle. They only appear on screen when the screen saver is on, and are not at all distracting.The 3G option is a more difficult question. This effectively means you can use your kindle to buy or download books over-the-air instead of at home or near a WIFI hotspot. Personally I went for the WIFI model as the saving is considerable, but its a personal choice. Of course if you wont have WIFI at home, then youll need the 3G option.One point worth mentioning however, is if you have a modern smartphone, you can always create a Personal Hotspot or local WIFI signal that your Kindle (or indeed any other WIFI device) can connect to. Got to Settings Personal Hotspot on your mobile to set one up, and you can connect your WIFI only Kindle while youre out and about.Conclusion-------------If you love books but your on a budget, the original Kindle with WIFI and special offers is a great option. Youll still be able to carry thousands of book around with you, but youll lose out on the soft white back-light and super crisp display of the Papwerwhite.The Kindle Paperwhite is your next best option and is a terrific device for reading with a superb 300 dpi super-sharp screen. Finally, theres the top of the range Voyage with the page press buttons and ambient light sensor which automatically adjusts the brightness.If youre in the market for a Tablet Computer then the Kindle Fire range is worth considering, but youll get a better book reading experience on the Kindle. Myself I have both a Paperwhite and an iPad Air 2. I was skeptical at first, but the Kindle is a perfect device for reading with one hand (on the train), and the back-light and long battery life a huge bonus.Frequently Asked Questions---------------------------------Q: What file format will a Kindle readA: Kindle Format 8 (AZW3), Kindle (AZW), TXT, PDF, unprotected MOBI, PRC natively in addition to HTML, DOC, DOCX, JPEG, GIF, PNG, BMP through conversionQ: What It doesnt support EPUB formatA: No - but you can convert your EPUB books using a freely available program called Calibre. Simple search for You Tube um0teoAR6zw and youll see a video explaining how to do this. Simples.Q: If I lose my Kindle, do I lose my books as wellA: No. All books are available on your Amazon account to download on a new device.Q: Can I save my place in the bookA: Yes. It will automatically save your place, and if you resume on other device it will prompt you to jump to that position.Q: I often need reading glasses - can I adjust the font sizeA: Yes. Theres a range of fonts, and sizes to suit all tastesQ: Can I share books with my partner or childrenA: Yes. You can now share your books using Amazon Family Library to link two Amazon accounts and four children and share your books with the entire familyQ. Can I use a Kindle to read in bedA. Yes. But only on the Paperwhite and Voyage models. Its a pleasure to read in the dark with a soft white light. For the base Kindle model youll need the light onQ. Are there any free books availableA. Yes! Over 40,000 classic titles are available for free (out of copyright), and they can be legally downloaded. If you have a Amazon Prime membership you can also borrow a book from the Kindle Owners Library which includes around 60,000 books.Q: How long does the battery lastA: Depending upon model, you should get between 4 and 6 weeks between charges on around 30 minutes of reading per day. Ive certainly found Ive gone for weeks without charging the deviceQ: How long does it take to chargeA: From absolutely flat, around 4 hoursQ: How many books will the Kindle holdA: Literally thousands. You can also download every book youve ever owned from your Amazon account - so the list is quite literally unlimited.Q: Do I need anything elseA: Youll need a smartphone charger or laptop with a USB socket as the Kindle range doesnt come with a charger (but the Fire does). Amazon also offer an additional charger to buy if you need it. Some people also buy a cover, but I think this is not really needed. It adds to the weight, and is not really needed. It will protect your Kindle from a drop however, and protect the screen if its left knocking around in a bag.",5.0,1.0,10670,this is a review of the kindle paperwhite launched july essentially the same as the previous kindle paperwhite but with a fantastic upgraded dpi screen more memory and storage its a terrific reading device this review aims to describe both this product and compare it with the other kindle devices available to help you choose the best one for youbefore i start ive noticed several complains about kindle not supporting the epub format used by canadian public libraries dont be put off theres a solution in the frequently asked questions section belowthis review is broken up into sections so you can skip the less interesting bits if youre in a hurry ive included a summary at the start and a frequently asked questions section at the endsummary what can you do with it read a book it can store s of books take an entire library away with you on holiday buy a book you can browse the amazon kindle store and buy books over a wifi connection borrow a book using the kindle owners library you can borrow one of books if you have amazon prime membership share your books using amazon family library to link two amazon accounts and four children and share your books with the entire family highlight a section using the touch screen you can highlight a particulary interesting few lines if several people highlight the same section thats also indicated record a bookmark to come back to it later read a book on your kindle continue on your smartphone or tablet computer and it will jump to your last known position look up a word and record them in the vocabulary builder track a characters appearance throughout a book using the x ray feature read for weeks without needing to recharge typically weeks share you books multiple kindles on the same account or family sharing access every book youve ever owned on the cloud available for download within seconds over wifi or gwhat devices are availableas of july amazon have the following kindle devices on sale kindle around cdn kindle paperwhite th generation dpi launched october around cdn new kindle paperwhite th gen dpi launched july around cdn kindle voyger around us doesnt seem to be on sale in amazon canada kindle fire or colour tablet computers at around cdn so youre faced with a few devices plus additional options which to buy heres a quick summary in order of cost the entry level kindle an entry level black and white eink book reader it has a inch touch screen with enough storage to hold thousands of books and a battery which should last around weeksa terrific device to read books and a worthy contender for the technically minded it has a ghz processor and gb of memory with an eink display essentially this means its a black and white b fantastic to read even in bright sunlight c requires very little power hence the battery lasts for weeks instead of hours new kindle paperwhite launched in this is really an upgrade adding a supersharp display with pixels per inch the same as the top of the range voyage the high resolution screen does provide a crisp text which is pleasing to the eye but battery life is reduced from weeks of the original paperwhite to weeks but still a very long timecompared to the existing paperwhite it also includes double the memory which means its faster and slicker than before and a new bookerly font plus better presentation of fonts on screenif you have an existing paperwhite its probably not worth upgrading however if you own a prior device youll notice the huge leap in screen quality contrast and performance the voyage far more expensive that paperwhite this is thinner and g lighter it has more of a quality feel with the screen flush with the ereader body which makes it look more like a tablet and keeps dirt from getting caught in the edges the back has a soft touch plastic finish which feels lovely in the hand and it has new page press buttons on the side to turn the pages when the buttons are pressed theres a gentle vibration for feedback nice touch it has gb of storage same as the paperwhite and a similar battery which should last around weeks on a single chargealthough it has the same sharp dpi screen as the paperwhite the backlight includes an ambient light sensor so it automatically adjusts to different lighting conditions this means if you read it the dark it will automatically adjust the brightness so it doesnt look too bright in addition youll find when you switch off the room light your eyes naturally become accustomed to the darkness to compensate the voyage automatically softens the light slightly a lovely example of attention to detail in this premium device kindle fire tablet computer the kindle fire range is a very different beast to the rest of the kindle range similar to the apple ipad mini it has a high resolution screen a fast processor and lots of memory with a colour screen and a much shorter battery life hours rather than weeks although you can read books on a fire using the amazon kindle app youll find the kindle with its sharp black and white screen far more like reading a physical book youll find it produces less eye strain and whereas a tablet computer is better suited to surfing the web watching videos and reading emails the kindle is a dedicated book reader deviceunlike a kindle the fire produces light at the blue end of the spectrum which means it may make it harder for you to sleep the paperwhite and voyage also ave the advantage of a soft white backlight which is far more suited to reading in bed and it wont for example wake your partner if reading in the darkfinally unlike the rest of the kindle range the fire is almost useless in bright sunlight so while its fine for everyday use its less useful on holiday the kindle range of devices are perfect to take away on holiday as they can carry thousands of books and are a pleasure to read even in bright sunlightwhat other options do i havehaving decided upon the model kindle paperwhite voyage or fire the next decision is around special offers ie adverts g or wifi connectionpersonally i have no issue with adverts on a kindle they only appear on screen when the screen saver is on and are not at all distractingthe g option is a more difficult question this effectively means you can use your kindle to buy or download books overtheair instead of at home or near a wifi hotspot personally i went for the wifi model as the saving is considerable but its a personal choice of course if you wont have wifi at home then youll need the g optionone point worth mentioning however is if you have a modern smartphone you can always create a personal hotspot or local wifi signal that your kindle or indeed any other wifi device can connect to got to settings personal hotspot on your mobile to set one up and you can connect your wifi only kindle while youre out and aboutconclusionif you love books but your on a budget the original kindle with wifi and special offers is a great option youll still be able to carry thousands of book around with you but youll lose out on the soft white backlight and super crisp display of the papwerwhitethe kindle paperwhite is your next best option and is a terrific device for reading with a superb dpi supersharp screen finally theres the top of the range voyage with the page press buttons and ambient light sensor which automatically adjusts the brightnessif youre in the market for a tablet computer then the kindle fire range is worth considering but youll get a better book reading experience on the kindle myself i have both a paperwhite and an ipad air i was skeptical at first but the kindle is a perfect device for reading with one hand on the train and the backlight and long battery life a huge bonusfrequently asked questionsq what file format will a kindle reada kindle format azw kindle azw txt pdf unprotected mobi prc natively in addition to html doc docx jpeg gif png bmp through conversionq what it doesnt support epub formata no but you can convert your epub books using a freely available program called calibre simple search for you tube umteoarzw and youll see a video explaining how to do this simplesq if i lose my kindle do i lose my books as wella no all books are available on your amazon account to download on a new deviceq can i save my place in the booka yes it will automatically save your place and if you resume on other device it will prompt you to jump to that positionq i often need reading glasses can i adjust the font sizea yes theres a range of fonts and sizes to suit all tastesq can i share books with my partner or childrena yes you can now share your books using amazon family library to link two amazon accounts and four children and share your books with the entire familyq can i use a kindle to read in beda yes but only on the paperwhite and voyage models its a pleasure to read in the dark with a soft white light for the base kindle model youll need the light onq are there any free books availablea yes over classic titles are available for free out of copyright and they can be legally downloaded if you have a amazon prime membership you can also borrow a book from the kindle owners library which includes around booksq how long does the battery lasta depending upon model you should get between and weeks between charges on around minutes of reading per day ive certainly found ive gone for weeks without charging the deviceq how long does it take to chargea from absolutely flat around hoursq how many books will the kindle holda literally thousands you can also download every book youve ever owned from your amazon account so the list is quite literally unlimitedq do i need anything elsea youll need a smartphone charger or laptop with a usb socket as the kindle range doesnt come with a charger but the fire does amazon also offer an additional charger to buy if you need it some people also buy a cover but i think this is not really needed it adds to the weight and is not really needed it will protect your kindle from a drop however and protect the screen if its left knocking around in a bag
"I love my kindle! I got one for my fiance on his birthday, he loved it!!!!!!! so I decided to get one for myself as well and I am glad I did. It is very easy to read books in it. I LOVE the dictionary on this little device. Normally I just skip a word I don't know the meaning of and try to guess what it means in the context but with kindle, I just press and hold my finger on the word I don't know and translation pops up! so essentially, the meaning of a new word is at your finger tips! )If you love to read books, I highly recommend kindle.However, if you only read Manga or Comic books, if you are a fan of buying how to draw, how to sew books I do not recommend kindle for you. It is not easy to navigate trough pictures and slides.So if you are a fan of reading novels just buy it now!If you are a manga fan, just buy your manga books from bookstores.",5.0,1.0,859,i love my kindle i got one for my fiance on his birthday he loved it so i decided to get one for myself as well and i am glad i did it is very easy to read books in it i love the dictionary on this little device normally i just skip a word i dont know the meaning of and try to guess what it means in the context but with kindle i just press and hold my finger on the word i dont know and translation pops up so essentially the meaning of a new word is at your finger tips if you love to read books i highly recommend kindlehowever if you only read manga or comic books if you are a fan of buying how to draw how to sew books i do not recommend kindle for you it is not easy to navigate trough pictures and slidesso if you are a fan of reading novels just buy it nowif you are a manga fan just buy your manga books from bookstores
"Vraiment bon petit appareil , lger et facile d emploiJ ai hte de m en servir sur les plages cet hiverBelle bibliothque de livres disponiblesBon achat en bref",4.0,1.0,157,vraiment bon petit appareil lger et facile d emploij ai hte de m en servir sur les plages cet hiverbelle bibliothque de livres disponiblesbon achat en bref
"Exactly what it is supposed to be. Works great and I love the built-in light. Perfect reader, and very quick delivery.",5.0,1.0,118,exactly what it is supposed to be works great and i love the builtin light perfect reader and very quick delivery
